,id,name,address_1,address_2,pin,phone,email,owner
0,1,Drug Store 1,Urv Avenue,Delhi,984385,7096993236,drug_store_1@gmail.com,Neha
1,2,Drug Store 2,Tms Avenue,Delhi,513486,3572123406,drug_store_2@example.com,Rajesh
2,3,Drug Store 3,Cqm Street,Bangalore,469552,0786940218,drug_store_3@yahoo.com,Deepak
3,4,Drug Store 4,Tpo Street,Mumbai,245064,7618344748,drug_store_4@example.com,Neha
4,5,Drug Store 5,Dym Road,Chennai,083340,6656396620,drug_store_5@outlook.com,Neha
5,6,Drug Store 6,Nzn Road,Mumbai,954993,0642844551,drug_store_6@example.com,Deepak
6,7,Drug Store 7,Bti Street,Chennai,136990,8285632113,drug_store_7@outlook.com,Rajesh
7,8,Drug Store 8,Crg Road,Kolkata,774829,0653652340,drug_store_8@yahoo.com,Priya
8,9,Drug Store 9,Xcm Road,Bangalore,859348,7955873915,drug_store_9@outlook.com,Neha
9,10,Drug Store 10,Ida Street,Chennai,553750,3570098888,drug_store_10@example.com,Deepak
10,11,Drug Store 11,Juk Street,Kolkata,697885,4400493237,drug_store_11@gmail.com,Amit
11,12,Drug Store 12,Vqg Avenue,Delhi,660108,7754034353,drug_store_12@gmail.com,Deepak
12,13,Drug Store 13,Chx Street,Kolkata,371380,9618200371,drug_store_13@example.com,Amit
13,14,Drug Store 14,Oej Street,Delhi,570449,0768669979,drug_store_14@example.com,Deepak
14,15,Drug Store 15,Mak Road,Bangalore,413448,0017360715,drug_store_15@example.com,Rajesh
15,16,Drug Store 16,Fny Avenue,Chennai,436493,0918605594,drug_store_16@yahoo.com,Rajesh
16,17,Drug Store 17,Hdm Road,Kolkata,309023,2283064290,drug_store_17@outlook.com,Rajesh
17,18,Drug Store 18,Hgx Street,Kolkata,137973,3751171616,drug_store_18@outlook.com,Neha
18,19,Drug Store 19,Asr Road,Bangalore,273304,8651271970,drug_store_19@gmail.com,Neha
19,20,Drug Store 20,Pdj Road,Kolkata,220114,6732694402,drug_store_20@yahoo.com,Neha
20,21,Drug Store 21,Sts Road,Delhi,304214,8790421085,drug_store_21@outlook.com,Priya
21,22,Drug Store 22,Lby Street,Delhi,310274,3775407870,drug_store_22@outlook.com,Deepak
22,23,Drug Store 23,Gaw Street,Mumbai,120226,5438242984,drug_store_23@gmail.com,Priya
23,24,Drug Store 24,Fpa Avenue,Chennai,603694,1017546400,drug_store_24@yahoo.com,Amit
24,25,Drug Store 25,Msc Avenue,Delhi,699675,4841526033,drug_store_25@yahoo.com,Neha
25,26,Drug Store 26,Tqb Avenue,Chennai,733264,1475539868,drug_store_26@example.com,Priya
26,27,Drug Store 27,Rsf Street,Delhi,888691,1080164193,drug_store_27@gmail.com,Amit
27,28,Drug Store 28,Huy Avenue,Bangalore,460232,2682754728,drug_store_28@yahoo.com,Neha
28,29,Drug Store 29,Dgs Street,Bangalore,255326,4005703108,drug_store_29@yahoo.com,Rajesh
29,30,Drug Store 30,Xih Avenue,Delhi,432817,2181076670,drug_store_30@yahoo.com,Neha
