,mfr_id,mfr_name,address_1,pin,email,phone
0,1,OTSUKA,Mumbai,637793,otsuka@mail.com,2083135240
1,2,OTSUKA PHARM CO LTD,Mumbai,100913,otsukapharmcoltd@mail.com,8617796496
2,3,PFIZER INC,DEF City,610687,pfizerinc@mail.com,4181850981
3,4,SUN PHARM INDS INC,Dehradun,426407,sunpharmindsinc@mail.com,2284108156
4,5,SENTYNL THERAPS INC,DEF City,833147,sentynltherapsinc@mail.com,8584127094
5,6,HOFFMANN LA ROCHE,ABC City,331113,hoffmannlaroche@mail.com,2138268919
6,7,WOODWARD,Dehradun,598222,woodward@mail.com,3870282016
7,8,AYTU,Mumbai,342326,aytu@mail.com,5996657750
8,9,GENENTECH,Dehradun,103014,genentech@mail.com,7222073849
9,10,MALLINCKRODT ARD,DEF City,854114,mallinckrodtard@mail.com,6751693853
10,11,CEPHALON,ABC City,141509,cephalon@mail.com,8780078469
11,12,APIL,Pune,582583,apil@mail.com,9074462781
12,13,WARNER CHILCOTT,Mumbai,402404,warnerchilcott@mail.com,7887172631
13,14,TAKEDA PHARMS USA,Mumbai,173283,takedapharmsusa@mail.com,7474816525
14,15,ALEXZA PHARMS,ABC City,745536,alexzapharms@mail.com,1759476645
15,16,TEVA WOMENS,Mohali,158099,tevawomens@mail.com,8046630277
16,17,SPROUT PHARMS,ABC City,148575,sproutpharms@mail.com,2096314775
17,18,BAYER HLTHCARE,Dehradun,378942,bayerhlthcare@mail.com,5648385889
18,19,PURDUE PHARMA LP,Mumbai,822129,purduepharmalp@mail.com,9195410012
19,20,SANOFI-AVENTIS US,Mumbai,600943,sanofi-aventisus@mail.com,4854814736
20,21,NEOS THERAPS INC,DEF City,536366,neostherapsinc@mail.com,8482478364
21,22,NEOS THERAPS,Mumbai,506663,neostheraps@mail.com,1665630507
22,23,MANNKIND,Dehradun,593000,mannkind@mail.com,5790438493
23,24,ETON,ABC City,341731,eton@mail.com,4960000684
24,25,SANOFI AVENTIS US,Pune,569238,sanofiaventisus@mail.com,6183307441
25,26,AMGEN INC,Mohali,621119,amgeninc@mail.com,5002058092
26,27,ACORDA,ABC City,466043,acorda@mail.com,1924220490
